Name,Team,Pos.,Bye,Rank (Overall rank based on Gridiron AI predicted points.),Value (How valuable a player is overall taking into account both projected points and how difficult it is to find a replacement player at their position.),Pos. Rank (Rank sorted by position and based on Gridiron AI predicted points.),Expected Points (Expected fantasy points based on the selected scoring settings.),Downside Points (Downside fantasy points based on the selected scoring settings.),Upside Points (Upside fantasy points based on the selected scoring settings.),"3-GA Points (The average points scored over the last three games excluding games where the player was inactive due to bye week, suspension, or injury.)","3-G Point Spread (The difference between max and min points in the last 3 weeks ignoring bye weeks, injuries, and suspensions. Requires the player to have been active in at least two of the last three games.)","3-GA Yards (Average sum of passing, rushing, and receiving yards over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-GA TDs (Average sum of passing, rushing, and receiving touchdowns over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","3-GA Turnovers (Average sum of fumbles and interceptions over the past three weeks. Skip BYE weeks, injuries, and suspensions.)","LG Touches (Sum of passing attempts, rushing attempts, and targets last week.)","3-GA Touches (Average sum of passing attempts, rushing attempts, and targets over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Snap % (Percent of snaps the player was on the field last week.),"3-GA Snap % (Average percent of snaps the player was on the field over the past three weeks. Skip BYE weeks, injuries, and suspensions.)",LG Touch % (Percent of snaps last week the player accrued a touch when they were on the field for the play.),"3-GA Touch % (Average percent of snaps over the past three weeks the player accrued a touch when they were on the field for the play. Skip BYE weeks, injuries, and suspensions.)",Gridiron ID (The Gridiron AI player ID),FanDuel ID (The FanDuel player ID),DraftKings ID (The DraftKings player ID)
Lamar Jackson,BAL,QB,8,1,18,1,372.7,272.3,472.9,34.5,5.3,319.5,4,1.5,,39.5,,93,,61.6,5029,63115,877745
Patrick Mahomes ,KC,QB,10,2,26,2,351.3,157.1,545.5,19.1,14.4,270.3,2,0.7,32,34.7,94,95.7,62.7,57,4951,57439,839031
Kyler Murray ,ARI,QB,8,3,37,3,330.8,213.3,448.4,15.4,4.3,252.7,1.3,1.7,44,33.7,93,82.3,69.8,62.9,27161,63484,879799
Tom Brady ,TB,QB,13,4,39,4,329.3,154.1,519,14.4,2.1,207.3,1.7,0.3,29,32.3,100,100,47.5,48.6,962,6498,25347
Dak Prescott ,DAL,QB,10,5,42,5,321.6,164.9,485.5,20.2,20.3,278,2,0.7,36,37,99,98.7,48,54.9,4246,31716,591816
Aaron Rodgers ,GB,QB,5,6,45,6,315.9,141.8,504.6,13.4,12.4,254.3,1,0.7,57,45.3,100,100,64.8,60.5,862,6894,213957
Matt Ryan,ATL,QB,10,7,48,7,307.9,156.2,469.8,17.2,3.1,313.3,1.3,1,53,48.7,100,100,59.6,63.5,72,6616,216263
Josh Allen ,BUF,QB,11,8,51,8,304.4,189.3,419.5,12.4,20.4,141,1.3,0.3,5,23.3,11,70.3,71.4,60.6,5005,62239,868199
Deshaun Watson ,HOU,QB,8,9,52,9,301.4,184.6,418.2,13,7.9,248,1,2.5,,36.5,,100,,56.5,4625,54879,828743
Carson Wentz ,PHI,QB,9,10,54,10,297,146,458,19.9,6.5,306.7,1.7,1.7,43,45,100,99.7,58.1,60.6,4221,70324,613866
Drew Brees,NO,QB,6,11,55,11,297,125.9,476.3,24.5,6.2,278.3,3.3,0,31,34,81,89.3,55.4,55.2,548,6504,25598
Russell Wilson ,SEA,QB,6,12,61,12,281.7,152.4,415.2,16.9,9.3,239.3,1.7,0.3,48,36.7,100,100,64,55.1,2716,22015,401534
Ezekiel Elliott,DAL,RB,10,13,1,1,274.3,121.4,430,20.3,19.6,122.7,1.3,0,23,23.7,67,78.3,45.1,44.8,4242,38791,728338
Christian McCaffrey ,CAR,RB,13,14,2,2,272.7,112.8,432.5,20.9,13.7,148.7,1,0,19,25.7,72,87.3,37.3,41.1,4669,55050,830517
Baker Mayfield,CLE,QB,9,15,66,13,268.3,150.9,385.5,17,6,254,2.3,2,31,37,100,100,57.4,60,4999,41535,748070
Saquon Barkley,NYG,RB,11,16,4,3,267.2,104.6,429.6,28,22.2,179.7,1.7,0,21,25.3,86,87.3,32.8,41.9,26432,64401,883302
Alvin Kamara,NO,RB,6,17,5,4,266.1,108.5,423.7,16.5,14.1,85.3,1.3,0,11,16,41,55.7,39.3,41.8,4681,42104,750846
Miles Sanders ,PHI,RB,9,18,9,5,261.1,106.6,415.5,18.7,24,126.3,1,0,14,21.7,31,61,60.9,50.2,27041,71845,924261
Aaron Jones,GB,RB,5,19,10,6,256.4,104.4,408.4,19.8,13.7,118,1.3,0.3,31,23.3,85,70.7,41.3,42.8,4769,40442,741314
Philip Rivers,IND,QB,7,20,76,14,254.8,137.2,372.4,12.4,5.5,290.7,1,2,47,41.7,100,99.3,61,63,1010,7968,246054
Jared Goff,LA,QB,9,21,85,15,237.6,100.6,392.5,20.9,7.6,314.7,2.3,0.7,47,50.3,100,100,57.3,67.2,4460,38435,727837
Daniel Jones ,NYG,QB,11,22,90,16,233,119.6,346.4,26,18.6,345.5,3,2,50,47.5,100,100,67.6,65.9,27086,63519,879981
Leonard Fournette ,JAX,RB,7,23,22,7,232.2,92.5,371.8,8.9,3.2,89,0,0,,21.5,,95,,38.1,4618,52922,822013
Derrick Henry ,TEN,RB,7,24,23,8,231.7,118.7,345.2,23.9,30.5,148.5,1.5,0,32,27,76,67.5,68.1,61.5,4232,39280,732145
Jacoby Brissett,IND,QB,7,25,91,17,231.1,117.7,344.4,10,7.4,169.7,0.3,0.7,29,31.7,100,98.3,51.8,55,4295,30231,607047
Dalvin Cook,MIN,RB,7,26,31,9,222.8,88.1,357.6,4.3,,43,0,0,,12,,43,,42.9,4684,54140,824080
Chris Carson,SEA,RB,6,27,33,10,221,87.2,354.7,15.8,19.7,98.5,1,0,,17.5,,54,,50.5,4663,64119,882734
Nick Chubb,CLE,RB,9,28,34,11,219.4,86.4,352.5,9.8,16.6,78.3,0.3,0,15,17,57,57.3,48.4,48.8,5032,53562,822857
Le'Veon Bell,NYJ,RB,11,29,36,12,218.6,85.8,351.3,8.6,1.6,86,0,0,21,24.3,69,82,45.7,47.5,3216,28181,543654
Kirk Cousins ,MIN,QB,7,30,97,18,217.8,103.6,331.9,9.3,4.8,171.5,1,2,,30,,97.5,,52.2,2835,22038,403308
Jimmy Garoppolo,SF,QB,11,31,98,19,217.6,102.3,336,11.6,2.2,249.3,0.7,1,24,30.3,100,100,48,52.9,3601,54604,555358
Ryan Tannehill,TEN,QB,7,32,103,20,215.3,77,364.2,21.9,6.2,262.3,2.7,0.3,25,30.7,98,99.3,41,47.9,2656,21948,380960
Derek Carr,OAK,QB,6,33,104,21,214.7,99.3,340.6,19.2,6.1,321.3,1.3,0.3,47,38.3,100,100,64.4,54.3,3415,45859,496083
Mitchell Trubisky ,CHI,QB,11,34,106,22,211.5,114.4,308.8,11,8,249.3,0.3,1.7,39,45.3,100,100,52,61.1,5252,38628,728169
Sam Darnold,NYJ,QB,11,35,108,23,210.6,97.5,323.7,12.5,5.9,204,1.3,2.3,39,34,100,100,58.2,54.1,5001,63589,880026
Joe Mixon,CIN,RB,9,36,46,13,208.3,80.6,335.9,17.5,22.3,135,0.7,0,27,26,74,61.3,52.9,58.5,4584,52442,820727
Austin Ekeler,LAC,RB,10,37,47,14,207.5,86.1,328.8,8,2,79.7,0,0.3,20,14.7,58,53.3,44.4,40.5,4695,80001,790004
